pl_name,planet_status,mass,radius,type,orbital_period,semi_major_axis,star_name,star_distance,star_teff,star_radius,temp_calculated,mag_v,mag_j,mag_k,scale_factor,tsm,esm,alternate_names,updated,observation_type,reference,molecules,albedo,phase_curve,comments,molecules_cleaned,molecule_list
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,Spitzer,2007MNRAS.379..641C,[],0,Yes,Multi-epoch 8 micron phase measurements yielded an upper limit on the thermal phase variations.,[],
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,Spitzer,2408.13308,[],0.52,Yes,Dayside and nightside temperatures from phase curve at 4.5 um.,[],
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,HST STIS,2020AJ....159..111C,"{Fe+"":""Detection"",""Mg"":""No detection"",""Mg+"":""No detection""}""",0,No,Detection of iron in HD209458b and non-detection of Mg and Mg+.,[],"No, Mg, Fe"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,HST STIS,2003Natur.422..143V,"{H"":""Detection""}""",No,No,Ly-alpha line detection,[],H
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,JWST-NIRCam,2310.03245,"{CO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection"",""CH4"":""Upper limit"",""HCN"":""Upper limit""}""",No,No,,[],"CH4, CO2, C/O, Upper, HCN, H2O"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,G-B: High resolution IR,2408.13536,"{H2O"":""Detection"",""CH4"":""No detection"",""CO"":""No detection"",""HCN"":""No detection"",""NH3"":""No detection""}""",No,No,Four transits with CRIRES+,[],"CH4, NH3, No, HCN, H2O, CO"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,HST WFC3,2204.11729,"{H2O"":""Detection"",""CH4"":""Detection"",""CO"":""Detection""}""",No,No,,[],"CH4, H2O, CO"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,G-B: High resolution IR,2020AJ....160..228K,"{FeH"":""Upper limit""}""",0,No,,[],"Upper, FeH"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,G-B: High resolution visible,2410.1581,"{Na"":""No detection""}""",No,No,,[],"No, Na"
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,G-B: High resolution IR,1908.08754,"{H2O"":""Detection""}""",0,No,Water vapor detection in the transmission spectra of HD 209458 b with the CARMENES NIR channel,[],H2O
HD 209458 b,Confirmed,0.69,1.38,Hot Jupiter,3.52472,0.04747,HD 209458,47.0,6092.0,1.203,1478.824195,7.65,6.591,6.308,1.15,950.9802,535.1454,,11/19/24,Spitzer,2014ApJ...796...48Z,[],No,Yes,,[],
HD 219666 b,Confirmed,0.0522,0.4202,Hot,6.03607,0.06356,HD 219666,94.4,5527.0,1.03,1073.0,9.809,8.557,8.158,1.15,142.0434,17.8668,TOI-118,1/20/23,HST WFC3,2503.03895,"{H2O"":""Detection""}""",No,No,,[],H2O
HD 3167 c,Confirmed,0.0308,0.255,Warm,29.83832,0.1841,HD 3167,47.36,5528.0,0.87,531.0,8.94,7.548,7.066,1.28,66.1053,2.4213,"EPIC 220383386 c, HIP 2736 c, 2MASS J00345752+0422531 c, BD+03 68 c, EPIC 220383386.02, K2-96 c, SAO 109291 c, TYC 0013-00894-1 c, WISE J003457.60+042251.4 c",03-09-2022,HST WFC3,2021AJ....161...19G,"{H2O"":""Detection"",""CO2"":""Detection""}""",No,No,,[],"CO2, H2O"
HD 63433 b,Confirmed,0.0689,0.1945,Hot,7.1079477,0.0719,HD 63433,22.42,5640.0,0.912,870.0,7.0,5.624,5.258,1.26,46.681,11.5136,TOI-1726 b,10/16/23,G-B: High resolution visible,2404.16732,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
HD 63433 b,Confirmed,0.0689,0.1945,Hot,7.1079477,0.0719,HD 63433,22.42,5640.0,0.912,870.0,7.0,5.624,5.258,1.26,46.681,11.5136,TOI-1726 b,10/16/23,G-B: High resolution IR,2404.16732,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
HD 63433 b,Confirmed,0.0689,0.1945,Hot,7.1079477,0.0719,HD 63433,22.42,5640.0,0.912,870.0,7.0,5.624,5.258,1.26,46.681,11.5136,TOI-1726 b,10/16/23,G-B:Low resolution IR,2106.05273,"{He"":""Upper limit""}""",0,No,Upper limit (0.5%) of He with Keck/NIRSPEC,[],"Upper, He"
HD 63433 b,Confirmed,0.0689,0.1945,Hot,7.1079477,0.0719,HD 63433,22.42,5640.0,0.912,870.0,7.0,5.624,5.258,1.26,46.681,11.5136,TOI-1726 b,10/16/23,HST STIS,2106.05273,"{H"":""No detection""}""",0,No,Non detection of Lyman-a,[],"No, H"
HD 63433 b,Confirmed,0.0689,0.1945,Hot,7.1079477,0.0719,HD 63433,22.42,5640.0,0.912,870.0,7.0,5.624,5.258,1.26,46.681,11.5136,TOI-1726 b,10/16/23,G-B:Low resolution IR,2405.17294,"{He"":""Upper limit""}""",No,No,New He upper limit with NIRSPEC/Keck of 0.47% / 2.52 mA,[],"Upper, He"
HD 63433 c,Confirmed,0.0482,0.2427,Warm,20.54383,0.1458,HD 63433,22.42,5640.0,0.912,622.31,7.0,5.624,5.258,1.26,92.7364,7.4361,TOI-1726 c,10/16/23,G-B: High resolution visible,2404.16732,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
HD 63433 c,Confirmed,0.0482,0.2427,Warm,20.54383,0.1458,HD 63433,22.42,5640.0,0.912,622.31,7.0,5.624,5.258,1.26,92.7364,7.4361,TOI-1726 c,10/16/23,G-B: High resolution IR,2404.16732,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
HD 63433 c,Confirmed,0.0482,0.2427,Warm,20.54383,0.1458,HD 63433,22.42,5640.0,0.912,622.31,7.0,5.624,5.258,1.26,92.7364,7.4361,TOI-1726 c,10/16/23,G-B:Low resolution IR,2106.05273,"{He"":""Upper limit""}""",0,No,Upper limit (0.5%) of He with Keck/NIRSPEC,[],"Upper, He"
HD 63433 c,Confirmed,0.0482,0.2427,Warm,20.54383,0.1458,HD 63433,22.42,5640.0,0.912,622.31,7.0,5.624,5.258,1.26,92.7364,7.4361,TOI-1726 c,10/16/23,HST STIS,2106.05273,"{H"":""Detection"",""He"":""Upper limit""}""",0,No,Also upper limits on planet b,[],"H, Upper, He"
HD 73583 b,Confirmed,0.0321,0.2489,Warm,6.398042,0.0604,HD 73583,31.6,4511.0,0.71,721.0,9.67,7.649,6.948,1.28,114.7885,11.7301,TOI-560 b,7/29/22,G-B: High resolution visible,2404.16732,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
HD 73583 b,Confirmed,0.0321,0.2489,Warm,6.398042,0.0604,HD 73583,31.6,4511.0,0.71,721.0,9.67,7.649,6.948,1.28,114.7885,11.7301,TOI-560 b,7/29/22,G-B: High resolution IR,2110.1315,"{He"":""Detection""}""",No,No,0.68 ± 0.08% absorption in a young planet.,[],He
HD 73583 c,Confirmed,0.0302,0.2436,Warm,18.8805,0.1233,HD 73583,31.6,4511.0,0.71,503.0,9.67,7.649,6.948,1.26,78.5501,3.7034,TOI-560 c,12/29/21,G-B: High resolution visible,2404.16732,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
HD 73583 c,Confirmed,0.0302,0.2436,Warm,18.8805,0.1233,HD 73583,31.6,4511.0,0.71,503.0,9.67,7.649,6.948,1.26,78.5501,3.7034,TOI-560 c,12/29/21,G-B: High resolution IR,2404.16732,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
HD 80606 b,Confirmed,4.1641,1.032,Temperate Jupiter,111.436765,0.4603,HD 80606,58.4,5645.0,0.98,397.1823597,8.93,7.702,7.316,1.15,15.9902,8.7586,,10-11-2024,G-B: Low resolution visible,1008.48,"{K"":""Upper limit""}""",No,No,"Tentative excess absorption in the wings of K, but no detection in the line core.",[],"K, Upper"
HD 80606 b,Confirmed,4.1641,1.032,Temperate Jupiter,111.436765,0.4603,HD 80606,58.4,5645.0,0.98,397.1823597,8.93,7.702,7.316,1.15,15.9902,8.7586,,10-11-2024,JWST-NIRSpec,2407.12456,"{CO"":""Detection"",""CH4"":""Detection""}""",No,No,Seasonal change in composition detected,[],"CH4, CO"
HD 85628 A b,Confirmed,3.1,1.53,UltraHot Jupiter,2.82406,0.047,HD 85628 A,171.54,7800.0,1.92,2403.973872,8.19,,,1.15,,,MASCARA-4 b/bRing-1 b,11/13/19,G-B: High resolution visible,2304.04948,"{Rb"":""Detection"",""Sm"":""Detection"",""Ti+"":""Detection"",""Ba+"":""Detection"",""Mg"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection"",""Fe"":""Detection""}""",No,No,,[],"Cr, Sm, Rb, Ba, Mg, Ca, Fe, Ti"
HD 85628 A b,Confirmed,3.1,1.53,UltraHot Jupiter,2.82406,0.047,HD 85628 A,171.54,7800.0,1.92,2403.973872,8.19,,,1.15,,,MASCARA-4 b/bRing-1 b,11/13/19,G-B: High resolution visible,2208.11427,"{H"":""Detection"",""Na"":""Detection"",""Ca+"":""Detection"",""Mg"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection""}""",No,No,,[],"Cr, Na, H, Mg, Ca, Fe"
HD 89345 b,Confirmed,0.1073,0.642,Hot,11.81469,0.105,HD 89345,126.6,5609.0,1.657,1053.0,9.4,8.091,7.721,1.15,115.8208,18.6398,"K2-234 b, EPIC 248777106 b",02-11-2025,G-B: High resolution IR,2307.00967,"{He"":""Upper limit""}""",No,No,Upper-limit with GIANO-B of 0.7%,[],"Upper, He"
HD 93963 A c,Confirmed,0.05789,0.28799,Hot,3.6451398,0.04813,HD 93963 A,82.34,5987.0,1.043,1344.0,9.182,8.108,7.776,1.28,68.9397,13.6228,TOI-1797 c,7/29/22,G-B: High resolution visible,2505.10804,"{H"":""Upper limit"",""Na"":""Upper limit"",""Mg"":""Upper limit"",""Ca+"":""Upper limit""}""",No,No,RM detection and atmospheric inspection with Keck/KPF,[],"Na, H, Mg, Upper, Ca"
HD 97658 b,Confirmed,0.02457,0.20047,Hot,9.489295,0.08,HD 97658,21.1,5170.0,0.73,809.0,6.27,6.203,5.734,1.26,159.337,14.305,,04-09-2020,G-B:Low resolution IR,2020AJ....160..258K,"{He"":""No detection""}""",0,No,Non-detection above the noise level using Keck/NIRSPEC with a resolving power of R = 25000,[],"No, He"
HD 97658 b,Confirmed,0.02457,0.20047,Hot,9.489295,0.08,HD 97658,21.1,5170.0,0.73,809.0,6.27,6.203,5.734,1.26,159.337,14.305,,04-09-2020,HST STIS,2017A&A...597A..26B,"{H"":""Upper limit""}""",No,No,No evidence of planetary Ly-a absorption over three visits,[],"H, Upper"
HIP 41378 f,Confirmed,0.038,0.821,Temperate Jupiter,542.07975,1.37,HIP 41378,116.0,6199.0,1.4,335.0,8.9,7.982,7.722,1.15,320.5034,0.8875,,02-10-2025,HST WFC3,2201.02686,"{Featureless spectra"":""Detection""}""",0,No,,[],
HIP 65426 b,Confirmed,7.1,1.5,Hot Jupiter,,87.0,HIP 65426,109.2,8840.0,1.77,1560.0,7.01,6.826,6.771,1.15,51.9029,169.0523,,3/24/24,G-B:Low resolution IR,2310.00148,"{Molecular ratios: C/O, etc..."":""Detection""}""",No,No,,[],C/O
HIP 65A b,Confirmed,3.213,2.03,Hot Jupiter,0.9809734,0.01782,HIP 65A,61.89,4590.0,0.7242,1411.0,11.1,,,1.15,,,TOI-129 b,3/13/20,G-B: High resolution IR,2403.07983,"{H2O"":""Detection"",""CO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,,[],"C, O, H2O, CO"
HIP 65A b,Confirmed,3.213,2.03,Hot Jupiter,0.9809734,0.01782,HIP 65A,61.89,4590.0,0.7242,1411.0,11.1,,,1.15,,,TOI-129 b,3/13/20,TESS,2020AJ....160..155W,[],0,Yes,Atmospheric brightness modulation detected. Stellar ellipsoidal distortion and Doppler boosting signals detected.,[],
HIP 67522 b,Confirmed,0.0434,0.897,Hot Jupiter,6.9594738,0.0753,HIP 67522,127.27,5675.0,1.38,1174.0,9.9,8.587,8.164,1.15,999.0691,52.346,"TOI-6551 b, HD 120411 b",9/26/24,JWST-NIRSpec,2409.16355,"{CO2"":""Detection"",""H2O"":""Detection"",""CO"":""Detection"",""H2S"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,,[],"C, CO2, H2S, O, H2O, CO"
HIP 94235 b,Confirmed,1.192,0.2862,Hot,7.712121,0.0787,HIP 94235,58.61,5991.0,1.08,1060.0,8.3,7.201,6.881,1.28,3.6703,12.0442,TOI-4399 b,9/28/22,G-B: High resolution IR,2506.04605,"{He"":""Upper limit""}""",No,No,Very restrictive upper limit with VLT/CRIRES+ (<0.0015 in transit depth),[],"Upper, He"
HIP 94235 b,Confirmed,1.192,0.2862,Hot,7.712121,0.0787,HIP 94235,58.61,5991.0,1.08,1060.0,8.3,7.201,6.881,1.28,3.6703,12.0442,TOI-4399 b,9/28/22,HST STIS,2408.0217,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
HR 8799 b,Confirmed,7.0,1.2,Jupiter,164250.0,68.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2404.03776,"{Cloudy"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,,[],"C, O"
HR 8799 b,Confirmed,7.0,1.2,Jupiter,164250.0,68.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,Direct Detection,2107.06949,"{H2O"":""Detection"",""CO"":""Detection""}""",0,No,"KPIC instrument, high-resolution spectroscopy",[],"H2O, CO"
HR 8799 b,Confirmed,7.0,1.2,Jupiter,164250.0,68.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2109.07614,"{H2O"":""Detection"",""CO"":""Detection"",""CH4"":""Upper limit""}""",0,No,,[],"CH4, Upper, H2O, CO"
HR 8799 b,Confirmed,7.0,1.2,Jupiter,164250.0,68.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,JWST-NIRCam,2503.13608,"{CO2"":""Detection""}""",No,No,,[],CO2
HR 8799 b,Confirmed,7.0,1.2,Jupiter,164250.0,68.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B: High resolution IR,1303.2627,"{NH3"":""Detection"",""H2C2"":""Detection"",""CO2"":""Detection""}""",0,No,,[],"NH3, H2C2, CO2"
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2209.15484,"{C"":""Upper limit""}""",No,No,"Retrieval of [C/H], [O/H], and C/O ratios",[],"Upper, C"
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2404.03776,"{Molecular ratios: C\/O, etc..."":""Detection"",""Cloudy"":""Detection"",""HCN"":""Detection"",""CH4"":""Detection""}""",No,No,,[],"CH4, HCN, C, O"
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2109.07614,"{CH4"":""Detection"",""H2O"":""Detection""}""",0,No,,[],"CH4, H2O"
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,JWST-NIRCam,2503.13608,"{CO2"":""Detection""}""",No,No,,[],CO2
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B: High resolution IR,1303.2627,"{CH4"":""No detection"",""CO2"":""No detection"",""H2C2"":""Upper limit"",""NH3"":""Detection""}""",0,No,,[],"CH4, NH3, H2C2, CO2, Upper, No"
HR 8799 c,Confirmed,8.3,1.3,Jupiter,82145.0,42.9,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2109.07614,"{CO"":""Detection""}""",0,No,,[],CO
HR 8799 d,Confirmed,8.3,1.2,Jupiter,41054.0,27.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2404.03776,"{Cloudy"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,,[],"C, O"
HR 8799 d,Confirmed,8.3,1.2,Jupiter,41054.0,27.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B:Low resolution IR,2109.07614,"{CH4"":""Detection"",""H2O"":""Detection""}""",0,No,,[],"CH4, H2O"
HR 8799 d,Confirmed,8.3,1.2,Jupiter,41054.0,27.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,JWST-NIRCam,2503.13608,"{CO2"":""Detection""}""",No,No,,[],CO2
HR 8799 d,Confirmed,8.3,1.2,Jupiter,41054.0,27.0,HR 8799,39.4,,1.5,,5.96,5.383,5.24,1.15,,,,11/30/24,G-B: High resolution IR,1303.2627,"{CH4"":""Detection"",""CO2"":""Detection"",""H2C2"":""Detection"",""NH3"":""Upper limit""}""",0,No,,[],"CH4, NH3, H2C2, CO2, Upper"
HR 8799 e,Confirmed,9.6,1.17,Hot Jupiter,18000.0,16.4,HR 8799,39.4,7400.0,1.5,1150.0,5.96,5.383,5.24,1.15,36.3412,204.8766,,11/30/24,G-B:Low resolution IR,2404.03776,"{Molecular ratios: C\/O, etc..."":""Detection"",""Cloudy"":""Detection"",""HCN"":""Detection""}""",No,No,,[],"HCN, C, O"
HR 8799 e,Confirmed,9.6,1.17,Hot Jupiter,18000.0,16.4,HR 8799,39.4,7400.0,1.5,1150.0,5.96,5.383,5.24,1.15,36.3412,204.8766,,11/30/24,JWST-NIRCam,2503.13608,"{CO2"":""Detection""}""",No,No,,[],CO2
HR 8799 e,Confirmed,9.6,1.17,Hot Jupiter,18000.0,16.4,HR 8799,39.4,7400.0,1.5,1150.0,5.96,5.383,5.24,1.15,36.3412,204.8766,,11/30/24,G-B: High resolution IR,2107.06949,"{CO"":""Detection"",""H2O"":""Detection""}""",0,No,,[],"H2O, CO"
HR 8799 e,Confirmed,9.6,1.17,Hot Jupiter,18000.0,16.4,HR 8799,39.4,7400.0,1.5,1150.0,5.96,5.383,5.24,1.15,36.3412,204.8766,,11/30/24,G-B: High resolution IR,1303.2627,"{H2C2"":""Detection"",""CO"":""No detection"",""CH4"":""Detection"",""NH3"":""No detection""}""",0,No,,[],"CH4, NH3, H2C2, No, CO"
K2-100 b,Confirmed,0.06859047,0.32,Hot,1.673833,0.0296,K2-100,190.04,6168.0,1.22,1748.0,10.651,9.463,9.182,1.28,40.6554,9.6567,"K2-100 b, 2MASS J08382429+2006217 b, EPIC 211990866 b, EPIC 211990866.01, TYC 1398-142-1 b, WISE J083824.27+200621.7 b",02-05-2021,G-B: High resolution IR,2020MNRAS.495..650G,"{He"":""Upper limit""}""",No,No,He upper limit equivalent width of 5.7 mA at 99% confidence.,[],"Upper, He"
K2-100 b,Confirmed,0.06859047,0.32,Hot,1.673833,0.0296,K2-100,190.04,6168.0,1.22,1748.0,10.651,9.463,9.182,1.28,40.6554,9.6567,"K2-100 b, 2MASS J08382429+2006217 b, EPIC 211990866 b, EPIC 211990866.01, TYC 1398-142-1 b, WISE J083824.27+200621.7 b",02-05-2021,G-B: High resolution visible,2404.16732,"{H"":""Upper limit""}""",No,No,,[],"H, Upper"
K2-100 b,Confirmed,0.06859047,0.32,Hot,1.673833,0.0296,K2-100,190.04,6168.0,1.22,1748.0,10.651,9.463,9.182,1.28,40.6554,9.6567,"K2-100 b, 2MASS J08382429+2006217 b, EPIC 211990866 b, EPIC 211990866.01, TYC 1398-142-1 b, WISE J083824.27+200621.7 b",02-05-2021,G-B: High resolution IR,2404.16732,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
K2-100 b,Confirmed,0.06859047,0.32,Hot,1.673833,0.0296,K2-100,190.04,6168.0,1.22,1748.0,10.651,9.463,9.182,1.28,40.6554,9.6567,"K2-100 b, 2MASS J08382429+2006217 b, EPIC 211990866 b, EPIC 211990866.01, TYC 1398-142-1 b, WISE J083824.27+200621.7 b",02-05-2021,G-B:Low resolution IR,2405.17294,"{He"":""Upper limit""}""",No,No,New He I upper limit with NIRSPEC/Keck of 0.56% / 4.44 mA,[],"Upper, He"
K2-105 b,Confirmed,0.094,0.301,Hot,8.267704,0.0796,K2-105,199.28,5464.0,0.91,814.0,12.0,10.541,10.091,1.28,12.5783,2.652,"2MASS J08214087+1329512 b, EPIC 211525389 b, EPIC 211525389.01, TYC 807-1019-1 b, WISE J082140.87+132951.1 b",02-05-2021,G-B: High resolution IR,2307.00967,"{He"":""Upper limit""}""",No,No,Upper-limit with GIANO-B of 2.33%,[],"Upper, He"
K2-136 Ac,Confirmed,0.035820693,0.26,Warm,17.307137,,K2-136 A,59.2474,4500.0,0.677,425.0,11.2,9.096,8.368,1.28,39.0398,1.2617,"EPIC 247589423 c, LP 358-348 c, TOI-5087 c, 2MASS J04293897+2252579 A c, 2MASS J04293897+2252579 c, EPIC 247589423 A c, K2-136 A c, LP 358-348 A c, WISE J042939.05+225257.4 A c, WISE J042939.05+225257.4 c",7/28/24,G-B: High resolution IR,2021RNAAS...5..238G,"{He"":""Upper limit""}""",No,No,He upper limit equivalent width of 25mA at 99% confidence,[],"Upper, He"
K2-139 b,Confirmed,0.381,0.813,Warm Jupiter,28.380619,0.1796,K2-139,154.6,5370.0,0.88,524.0,11.7,10.177,9.66,1.15,44.7209,7.2042,"2MASS J19161596-1754384 b, EPIC 218916923 b, EPIC 218916923.01, TYC 6300-2008-1 b, WISE J191615.99-175438.5 b",02-05-2021,G-B: High resolution visible,2406.08558,"{H2O"":""Upper limit""}""",No,No,One transit with ESPRESSO,[],"Upper, H2O"
K2-141 b,Confirmed,0.01598,0.135,UltraHot,0.2803244,0.00747,K2-141,61.0,4599.0,0.681,2039.0,11.5,9.086,8.401,1.26,57.4405,14.1984,"EPIC 246393474 b, 2MASS J23233996-0111215 b, TYC 5244-714-1 b, WISE J232340.05-011121.1 b",02-05-2021,Spitzer,2203.0037,[],0,Yes,Spitzer photometry. Evidence for non-zero geometric albedo.,[],
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,JWST-NIRSpec,2501.18477,"{CH4"":""Detection"",""CO2"":""Upper limit""}""",No,No,No DMS evidences,[],"CH4, Upper, CO2"
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,HST STIS,2020A&A...634L...4D,"{H"":""Upper limit""}""",No,No,Hints of Ly-a absorption from a partial transit observation.,[],"H, Upper"
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,JWST-MIRI,2504.12267,"{DMS"":""Detection"",""DMDS"":""Detection""}""",No,No,,[],"DMS, DMDS"
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,HST WFC3,2019NatAs...3.1086T,"{H2O"":""Detection""}""",0,No,,[],H2O
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,JWST-MIRI,2505.13407,"{DMS"":""Upper limit"",""DMDS"":""Upper limit""}""",No,No,,[],"DMS, Upper, DMDS"
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,HST WFC3,2019ApJ...887L..14B,"{H2O"":""Detection""}""",0,No,,[],H2O
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,HST WFC3,2011.10424,"{CH4"":""Detection""}""",0,No,Modelling paper arguing for CH4 instead of H2O detection,[],CH4
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,G-B: High resolution IR,2403.18891,"{CH4"":""Upper limit"",""NH3"":""Upper limit""}""",No,No,One transit with IGRINS. Marginal detection of CH4 (2.2σ),[],"CH4, NH3, Upper"
K2-18 b,Confirmed,0.02807,0.211,Temperate,32.939623,0.1429,K2-18,38.07,3457.0,0.41,284.0,13.5,9.763,8.899,1.26,35.1258,0.3181,"EPIC 201912552 b, 2MASS J11301450+0735180 b, EPIC 201912552.01, WISE J113014.45+073516.8 b",09-11-2024,JWST-NIRISS,2309.05566,"{CH4"":""Detection"",""CO2"":""Detection"",""NH3"":""No detection""}""",No,No,Suggest potential signs of DMS,[],"No, CH4, NH3, CO2"
